CVID,Horas,Uso
20287,6,CST
20288,6,CST
20289,6,CST
20290,6,CST
20291,6,CST
20292,6,CST
20293,6,CST
20294,6,CST
20295,6,CST
20296,6,CST
20297,6,CST
20298,6,CST
20299,6,CST
20300,6,CST
20301,6,CST
20302,6,CST
20303,6,CST
20304,6,CST
20305,6,CST
20306,6,CST
20307,6,CST
20308,6,CST
20309,6,CST
20310,6,CST
20311,6,CST
20312,6,CST
20313,6,CST
20314,6,CST
20315,6,CST
20316,6,CST
20317,6,CST
20318,6,CST
20319,6,CST
20320,6,CST
20321,6,CST
20322,6,CST
20323,6,CST
20324,6,CST
20325,6,CST
20326,6,CST
20327,6,CST
20328,6,CST
20329,6,CST
20330,6,CST
20331,6,CST
20332,6,CST
20333,6,CST
20334,6,CST
20335,6,CST
20336,6,CST
20337,6,CST
20338,6,CST
20339,6,CST
20340,6,CST
20341,6,CST
20342,6,CST
20343,6,CST
20344,6,CST
20345,6,CST
20346,6,CST
20347,6,CST
20348,6,CST
20349,6,CST
20350,6,CST
20351,6,CST
20352,6,CST
20353,6,CST
20354,6,CST
20355,6,CST
20356,6,CST
20357,6,CST
20358,6,CST
20359,6,CST
20360,6,CST
20361,6,CST
20362,6,CST
20363,6,CST
20364,6,CST
20365,6,CST
20366,6,CST
20367,6,CST
20368,6,CST
20369,6,CST
20370,6,CST
20371,6,CST
20372,6,CST
20373,6,CST
20374,6,CST
20375,6,CST
20376,6,CST
20377,6,CST
20378,6,CST
20379,6,CST
20380,6,CST
20381,6,CST
20382,6,CST
20383,6,CST
20384,6,CST
20385,6,CST
20386,6,CST
20387,6,CST
20388,6,CST
20389,6,CST
20390,6,CST
20391,6,CST
20392,6,CST
20393,6,CST
20394,6,CST
20395,6,CST
20396,6,CST
20397,6,CST
20398,6,CST
20399,6,CST
20400,6,CST
20401,6,CST
20402,6,CST
20403,6,CST
20404,6,CST
20405,6,CST
20406,6,CST
20407,6,CST
20408,6,CST
20409,6,CST
20410,6,CST
20411,6,CST
20412,6,CST
20413,6,CST
20414,6,CST
20415,6,CST
20416,6,CST
20417,6,CST
20418,6,CST
20419,6,CST
20420,6,CST
20421,6,CST
20422,6,CST
20423,6,CST
20424,6,CST
20425,6,CST
20426,6,CST
20427,6,CST
20428,6,CST
20429,6,CST
20430,6,CST
20431,6,CST
20432,6,CST
20433,6,CST
20434,6,CST
20435,6,CST
20436,6,CST
20437,6,CST
20438,6,CST
20439,6,CST
20440,6,CST
20441,6,CST
20442,6,CST
20443,6,CST
20444,6,CST
20445,6,CST
20446,6,CST
20447,6,CST
20448,6,CST
20449,6,CST
20450,6,CST
20451,6,CST
20452,6,CST
20453,6,CST
20454,6,CST
20455,6,CST
20456,6,CST
20457,6,CST
20458,6,CST
20459,6,CST
20460,6,CST
20461,6,CST
20462,6,CST
20463,6,CST
20464,6,CST
20465,6,CST
20466,6,CST
20467,6,CST
20468,6,CST
20469,6,CST
20470,6,CST
20471,6,CST
20472,6,CST
20473,6,CST
20474,6,CST
20475,6,CST
20476,6,CST
20477,6,CST
20478,6,CST
20479,6,CST
20480,6,CST
20481,6,CST
20482,6,CST
20483,6,CST
20484,6,CST
20485,6,CST
20486,6,CST
20487,6,CST
20488,6,CST
20489,6,CST
20490,6,CST
20491,6,CST
20492,6,CST
20493,6,CST
20494,6,CST
20495,6,CST
20496,6,CST
20497,6,CST
20498,6,CST
20499,6,CST
20500,6,CST
20501,6,CST
20502,6,CST
20503,6,CST
20504,6,CST
20505,6,CST
20506,6,CST
20507,6,CST
20508,6,CST
20509,6,CST
20510,6,CST
20511,6,CST
20512,6,CST
20513,6,CST
20514,6,CST
20515,6,CST
20516,6,CST
20517,6,CST
20518,6,CST
20519,6,CST
20520,6,CST
20521,6,CST
20522,6,CST
20523,6,CST
20524,6,CST
20525,6,CST
20526,6,CST
20527,6,CST
20528,6,CST
20529,6,CST
20530,6,CST
20531,6,CST
20532,6,CST
20533,6,CST
20534,6,CST
20535,6,CST
20536,6,CST
20537,6,CST
20538,6,CST
20539,6,CST
20540,6,CST
20541,6,CST
20542,6,CST
20543,6,CST
20544,6,CST
20545,6,CST
20546,6,CST
20547,6,CST
20548,6,CST
20549,6,CST
20550,6,CST
20551,6,CST
20552,6,CST
20553,6,CST
20554,6,CST
20555,6,CST
20556,6,CST
20557,6,CST
20558,6,CST
20559,6,CST
20560,6,CST
20561,6,CST
20562,6,CST
20563,6,CST
20564,6,CST
20565,6,CST
20566,6,CST
20567,6,CST
20568,6,CST
20569,6,CST
20570,6,CST
21000,6,CST
21001,6,CST
21002,6,CST
21003,6,CST
21004,6,CST
21005,6,CST
21006,6,CST
21007,6,CST
21008,6,CST
21009,6,CST
21010,6,CST
21011,6,CST
21012,6,CST
21013,6,CST
21014,6,CST
21015,6,CST
21016,6,CST
21017,6,CST
21018,6,CST
21019,6,CST
21020,6,CST
21021,6,CST
21022,6,CST
21023,6,CST
21024,6,CST
21025,6,CST
21026,6,CST
21027,6,CST
21028,6,CST
21029,6,CST
21030,6,CST
21031,6,CST
21032,6,CST
21033,6,CST
21034,6,CST
21035,6,CST
21036,6,CST
21037,6,CST
21038,6,CST
21039,6,CST
21040,6,CST
21041,6,CST
21042,6,CST
21043,6,CST
21044,6,CST
21045,6,CST
21046,6,CST
21047,6,CST
21048,6,CST
21049,6,CST
21050,6,CST
21051,6,CST
21052,6,CST
21053,6,CST
21054,6,CST
21055,6,CST
21056,6,CST
21057,6,CST
21058,6,CST
21059,6,CST
21060,6,CST
21061,6,CST
21062,6,CST
21063,6,CST
21064,6,CST
21065,6,CST
21066,6,CST
21067,6,CST
21068,6,CST
21069,6,CST
21070,6,CST
21071,6,CST
21072,6,CST
21073,6,CST
21074,6,CST
21075,6,CST
21076,6,CST
21077,6,CST
21078,6,CST
21079,6,CST
21080,6,CST
21081,6,CST
21082,6,CST
21083,6,CST
21084,6,CST
21085,6,CST
21086,6,CST
21087,6,CST
21088,6,CST
21089,6,CST
21090,6,CST
21091,6,CST
21092,6,CST
21093,6,CST
21094,6,CST
21095,6,CST
21096,6,CST
21097,6,CST
21098,6,CST
21099,6,CST
21100,6,CST
21101,6,CST
21102,6,CST
21103,6,CST
