GRIDCODE,CVENTMUN,Suma de Fter
8389,20265,0.017744911
8391,7017,0.047856461
8392,7017,0.059249986
8393,7017,0.035231038
8393,7046,0.028462896
8394,7046,0.36435048
8395,7046,0.002764483
8396,7046,0.120902565
8396,7061,0.02190305
8397,7061,0.113856499
8406,7098,0.748083085
8406,7106,0.119136557
8407,7058,0.625624226
8407,7106,0.043091648
8409,7106,0.038781891
8416,7052,0.060026664
8679,12053,0.202320183
8680,12053,0.055806116
8684,12012,0.068470621
8684,12025,0.346169175
8685,12012,0.004434479
8685,12025,0.21675883
8685,12052,0.015736605
8687,12052,0.300945662
8688,12052,0.067731504
8689,12013,0.218641634
8692,12062,0.335219621
8693,12046,0.105133611
8693,12062,0.046724996
8693,12071,0.487432908
8694,12071,0.448498145
8695,12071,0.02374899
8695,20447,0.232074889
8696,20447,0.178849038
8697,20447,0.439704139
8698,20073,0.047349293
8698,20088,0.016734256
8700,20377,0.304606906
8702,20500,0.002018341
8705,20277,0.024588735
8705,20491,0.186647487
8706,20570,0.234574913
8707,20420,1
8707,20535,0.012472899
8707,20570,0.22258947
8709,20271,1
8709,20358,1
8709,20378,0.611046695
8710,20387,0.737182527
8711,20007,1
8711,20068,0.358472993
8711,20132,0.050022288
8711,20301,1
8712,20068,0.049340529
8712,20132,0.949977711
8712,20162,0.316848304
8712,20284,0.045825967
8712,20368,0.889783356
8713,20112,0.05259885
8713,20162,0.186920836
8713,20284,0.954174033
8714,20112,0.879804738
8714,20561,1
8717,20131,0.048390278
8717,20333,0.322132893
8717,20551,0.585993764
8725,20470,0.379892973
8727,20412,0.331186882
8728,20412,0.13632721
8728,20472,0.333794991
8732,20005,0.055749842
8733,20005,0.077937453
8734,20265,0.217091318
8741,20265,0.184351768
8746,7017,0.167345316
8748,7046,0.143182669
8749,7046,0.108944736
8750,7061,0.017065658
8755,7027,0.322850616
8755,7086,0.053540818
8758,7028,0.929772292
8758,7098,0.136428501
8759,7028,0.070227708
8759,7098,0.115488414
9027,12001,0.092742929
9032,12053,0.388455048
9037,12012,0.116838033
9040,12052,0.489359461
9045,12062,0.329394664
9050,20073,0.057519319
9050,20088,0.400903554
9050,20447,0.149371933
9051,20088,0.517990762
9051,20392,0.071581584
9053,20088,0.064371427
9053,20377,0.329369502
9054,20500,0.202922927
9054,20510,0.52385705
9055,20444,1
9055,20500,0.607564344
9055,20510,0.116846575
9057,20137,0.871180885
9057,20566,0.275453262
9058,20108,0.03514243
9058,20277,0.186911119
9058,20566,0.724546738
9059,20104,0.82852651
9059,20108,0.191915064
9059,20277,0.033627174
9059,20570,0.075926046
9060,20104,0.171473489
9060,20570,0.173732034
9062,20123,1
9062,20378,0.388953304
9063,20295,0.92378723
9063,20387,0.262817473
9063,20570,0.033686741
9064,20068,0.072973012
9064,20103,0.752036362
9064,20243,0.954048305
9064,20295,0.07621277
9064,20360,1
9064,20369,0.476528882
9064,20389,1
9064,20452,1
9064,20570,0.004541977
9065,20068,0.320156888
9065,20103,0.247963638
9065,20368,0.110216644
9067,20112,0.067596412
9067,20475,0.835334278
9068,20131,0.456321826
9068,20475,0.164665722
9069,20131,0.477881196
9070,20226,0.073326892
9070,20551,0.076647481
9078,20470,0.239227994
9079,20412,0.270457039
9079,20470,0.060107739
9080,20036,0.654779186
9080,20412,0.26202887
9083,20010,0.55411321
9084,20010,0.443141259
9086,20005,0.268485468
9087,20005,0.020221424
9087,20265,0.049375119
9094,20265,0.120955902
9094,20407,0.003669021
9095,20265,0.13918476
9095,20407,0.088947021
9096,7017,0.173367673
9096,20265,0.038316335
9099,7017,0.129147352
9100,7017,0.009107505
9100,7046,0.00454615
9101,7046,0.051661145
9103,7061,0.006645984
9104,7061,0.065709388
9105,7061,0.119385814
9105,7101,0.094125416
9106,7101,0.905874584
9107,7086,0.679076937
9108,7027,0.677149384
9108,7086,0.267382245
9115,7038,0.211515527
9115,7078,0.265249479
9116,7024,0.140488974
9116,7038,0.420595589
9117,7038,0.016126478
9378,12021,0.134494009
9379,12021,0.029105671
9384,12053,0.06558024
9385,12053,0.287838414
9389,12012,0.244572822
9390,12012,0.466722504
9391,12012,0.098961541
9391,12076,0.097681469
9393,12041,0.112861451
9393,12052,0.006934024
9398,12062,0.059594947
9399,12062,0.206059673
9403,20073,0.235900246
9404,20073,0.268763314
9404,20392,0.329101921
9406,20026,0.298360711
9406,20377,0.098560077
9406,20392,0.599316496
9406,20500,0.113129168
9407,20026,0.161445175
9407,20500,0.07436522
9407,20510,0.359296375
9408,20026,0.095225016
9408,20297,0.019632927
9408,20382,1
9410,20137,0.128819115
9411,20108,0.222599397
9411,20274,0.59019719
9412,20108,0.456047747
9413,20108,0.094295362
9413,20273,0.475752123
9414,20273,0.428852817
9414,20292,0.243201173
9414,20570,0.003175345
9415,20048,1
9415,20273,0.006674845
9415,20292,0.461785534
9415,20388,0.882882955
9415,20570,0.048264304
9416,20013,0.929450663
9416,20388,0.117117045
9416,20555,1
9416,20565,0.670676186
9416,20570,0.045423176
9417,20013,0.070549337
9417,20068,0.050675881
9417,20243,0.045951695
9417,20369,0.523471118
9417,20565,0.329323814
9417,20570,0.02575518
9418,20068,0.148380698
9418,20219,1
9418,20349,0.704206406
9418,20530,1
9419,20051,1
9419,20118,0.110881853
9419,20197,0.600719678
9419,20551,0.211553101
9420,20118,0.889118147
9420,20233,1
9420,20551,0.125805654
9422,20226,0.216377537
9423,20131,0.017406701
9423,20194,0.778635451
9423,20226,0.587786414
9424,20194,0.221364549
9427,20200,0.033674714
9432,20036,0.256251546
9432,20470,0.142046089
9433,20036,0.088969269
9434,20513,0.131450597
9435,20513,0.243527997
9437,20010,0.002745531
9439,20005,0.042247247
9439,20407,0.016530513
9440,20005,0.01003646
9440,20407,0.48862163
9441,20407,0.039803577
9455,7061,0.051019484
9457,7061,0.03634851
9464,7111,0.678119825
9465,7078,0.085754415
9465,7111,0.321880175
9467,7078,0.385476763
9468,7078,0.112182484
9469,7038,0.152356137
9470,7024,0.859511026
9470,7038,0.199406269
9470,7064,0.670216521
9471,7064,0.024397681
9730,12021,0.154560836
9731,12021,0.127285684
9732,12021,0.064232542
9733,12001,0.137435064
9734,12001,0.167312816
9736,12001,0.312797601
9744,12052,0.119292744
9744,12076,0.27295304
9746,12041,0.169676737
9754,20020,0.101016751
9755,20020,0.864904035
9755,20469,0.073334527
9756,20020,0.034079215
9756,20073,0.303904588
9757,20073,0.086563239
9757,20446,0.74446454
9758,20446,0.027521567
9758,20481,1
9759,20026,0.107256012
9759,20133,0.455663853
9759,20269,0.486436799
9759,20372,1
9760,20026,0.337713085
9760,20269,0.005554092
9760,20297,0.068812832
9761,20297,0.911554241
9764,20274,0.40980281
9767,20494,0.588509713
