GRIDCODE,LONG,LATITUDE,Huso,Pob
18353,-87.175596,18.307895,6,0
18354,-87.090809,18.29947,6,0
18355,-87.006034,18.290997,6,0
18356,-117.072193,18.365012,6,0
18357,-116.987377,18.37353,6,0
18358,-116.90255,18.382,6,0
18359,-116.817712,18.390422,6,0
18360,-116.732864,18.398797,6,0
18361,-116.648005,18.407124,6,0
18362,-116.563137,18.415402,6,0
18363,-116.478258,18.423633,6,0
18364,-116.393369,18.431817,6,0
18365,-116.308469,18.439952,6,0
18366,-116.22356,18.448039,6,0
18367,-116.138641,18.456079,6,0
18368,-116.053712,18.46407,6,0
18369,-115.968772,18.472014,6,0
18370,-115.883823,18.47991,6,0
18371,-115.798865,18.487758,6,0
18372,-115.713896,18.495558,6,0
18373,-115.628918,18.50331,6,0
18374,-115.54393,18.511014,6,0
18375,-115.458933,18.51867,6,0
18376,-115.373926,18.526278,6,0
18377,-115.28891,18.533838,6,0
18378,-115.203885,18.54135,6,0
18379,-115.11885,18.548814,6,0
18380,-115.033806,18.55623,6,0
18381,-114.948753,18.563598,6,0
18382,-114.86369,18.570918,6,0
18383,-114.778619,18.57819,6,0
18384,-114.693538,18.585414,6,0
18385,-114.608449,18.59259,6,0
18386,-114.52335,18.599718,6,0
18387,-114.438243,18.606797,6,0
18388,-114.353127,18.613829,6,0
18389,-114.268002,18.620812,6,0
18390,-114.182869,18.627748,6,0
18391,-114.097727,18.634635,6,0
18392,-114.012576,18.641474,6,0
18393,-113.927417,18.648265,6,0
18394,-113.84225,18.655008,6,0
18395,-113.757074,18.661703,6,0
18396,-113.67189,18.668349,6,0
18397,-113.586698,18.674948,6,0
18398,-113.501497,18.681498,6,0
18399,-113.416288,18.688,6,0
18400,-113.331072,18.694454,6,0
18401,-113.245847,18.700859,6,0
18402,-113.160614,18.707217,6,0
18403,-113.075373,18.713526,6,0
18404,-112.990125,18.719787,6,0
18405,-112.904868,18.726,6,0
18406,-112.819604,18.732164,6,0
18407,-112.734333,18.73828,6,0
18408,-112.649053,18.744348,6,0
18409,-112.563767,18.750368,6,0
18410,-112.478472,18.75634,6,0
18411,-112.39317,18.762263,6,0
18412,-112.307861,18.768138,6,0
18413,-112.222545,18.773964,6,0
18414,-112.137221,18.779742,6,0
18415,-112.05189,18.785472,6,0
18416,-111.966552,18.791154,6,0
18417,-111.881207,18.796787,6,0
18418,-111.795855,18.802372,6,0
18419,-111.710496,18.807909,6,0
18420,-111.62513,18.813397,6,0
