ID_DB,CBM04,Lumped species,,,,,,,,,,,
12,Code,PAR,OLE,TOL,XYL,FORM,ALD2,ETH,ISOP,MEOH,ETOH,UNR,NVOL
0,43229,0.0012,0,0,0,0,0,0,0,0,0,0,0
0,43281,0.0004,0,0,0,0,0.0002,0,0,0,0,0,0
0,43288,0.0016,0,0,0,0,0,0,0,0,0,0,0
0,43459,0.00086666,0,0,0,0,0,0,0,0,0,0.00013334,0
0,43513,0.0002,0,0,0,0.0002,0,0,0,0,0,0,0
0,43514,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0
0,43568,0.0014,0.0002,0,0,0,0,0,0,0,0,0,0
0,43838,0.0003,0,0,0,0,0,0,0,0,0,0.0003,0
0,43842,0,0,0,0,0,0,0,0,0,0,0.0004,0
0,45108,0.0002668,0,0.0000668,0.0001332,0,0,0,0,0,0,0,0
0,45238,0.0002,0,0,0.0002,0,0,0,0,0,0,0,0
0,45501,0,0,0.0002,0,0,0,0,0,0,0,0,0
0,45808,0.0002,0,0,0,0,0,0,0,0,0,0.001,0
0,46705,0,0.0004,0,0.0002,0,0,0,0,0,0,0,0
0,90047,0,0,0,0,0,0,0,0,0,0,0,0
0,90048,0,0,0,0,0,0,0,0,0,0,0,0
0,90081,0,0,0,0,0,0,0,0,0,0,0,0
0,90083,0,0,0,0,0,0,0,0,0,0,0,0
0,90094,0,0,0,0,0,0,0,0,0,0,0,0
0,98060,0,0,0,0,0,0,0,0,0,0,0,0
0,98083,0,0,0,0,0,0,0,0,0,0,0,0
0,98106,0,0,0,0,0,0,0,0,0,0,0,0
0,43113,0.0014,0,0,0,0,0,0,0,0,0,0,0
0,43126,0.00078,0,0,0,0,0,0,0,0,0,0.00002,0
0,43127,0.00088,0,0,0,0,0,0,0,0,0,0.00002,0
0,43129,0.00098333,0,0,0,0,0,0,0,0,0,0.00001667,0
0,43130,0.001075,0,0,0,0,0,0,0,0,0,0.000025,0
0,43131,0.0012,0,0,0,0,0,0,0,0,0,0,0
0,43143,0.00024,0.00002,0,0,0.00002,0.0001,0,0,0,0,0,0
0,43144,0.0005,0,0,0,0,0,0,0,0,0,0,0
0,43150,0.000875,0.000025,0,0,0,0.000025,0,0,0,0,0.000025,0
0,43155,0.0015,0,0,0,0,0,0,0,0,0,0.0002,0
0,43156,0.0018,0,0,0,0,0,0,0,0,0,0,0
0,43216,0,0,0,0,0,0.0002,0,0,0,0,0,0
0,43225,0.0004,0,0,0,0.0001,0,0,0,0,0,0,0
0,43226,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0
0,43242,0.0005,0,0,0,0,0,0,0,0,0,0,0
0,43250,0.0007,0,0,0,0,0,0,0,0,0,0.0001,0
0,43273,0.0002,0,0,0,0,0.0002,0,0,0,0,0,0
0,43282,0.0002,0,0,0,0,0.0001,0,0,0,0,0,0
0,43283,0.0002,0,0,0,0,0.0002,0,0,0,0,0,0
0,43284,0.0004,0,0,0,0,0.0001,0,0,0,0,0,0
0,43285,0.0002,0,0,0,0,0.0002,0,0,0,0,0,0
0,43295,0.0007,0,0,0,0,0,0,0,0,0,0,0
0,43467,0.001,0,0,0,0,0,0,0,0,0,0,0
0,43469,0.0009,0,0,0,0,0,0,0,0,0,0.0001,0
0,43472,0.0006,0.0001,0,0,0,0,0,0,0,0,0,0
0,43570,0.00055344,0.00001406,0.00000978,0.00000741,0.00000007,0.0000125,0,0,0,0,0.00009731,0
0,43835,0.0004,0,0,0,0,0,0,0,0,0,0,0
0,43841,0,0,0,0,0,0,0,0,0,0,0.0002,0
0,43950,0,0,0,0,0,0,0,0,0,0,0.0008,0
0,45110,0.00020454,0,0.0000061,0.0000939,0,0,0,0,0,0,0.00000156,0
0,45208,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0
0,45226,0,0,0.0001,0,0,0,0,0,0,0,0.0005,0
0,45233,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0
0,45703,0.0001,0,0,0,0,0,0,0,0,0,0.0005,0
0,45705,0.0001,0,0,0,0,0,0,0,0,0,0.0005,0
0,45830,0.0001,0,0,0,0,0,0,0,0,0,0.0005,0
0,46102,0,0,0.0002,0,0,0,0,0,0,0,0,0
0,46707,0.0005,0,0,0.0001,0,0,0,0,0,0,0,0
0,46710,0,0,0,0.0002,0,0,0,0,0,0,0,0
0,46713,0,0,0,0.0002,0,0,0,0,0,0,0,0
0,46715,0.0002,0,0,0.0002,0,0,0,0,0,0,0,0
0,90014,0.0008,0.0001,0,0,0,0,0,0,0,0,0,0
0,90021,0.0004,0,0,0,0,0,0,0,0,0,0,0
0,90026,0.0006,0,0,0,0,0,0,0,0,0,0,0
0,90030,0.0016,0,0,0,0,0,0,0,0,0,0,0
0,90049,0,0,0,0,0,0,0,0,0,0,0,0
0,90050,0,0,0,0,0,0,0,0,0,0,0,0
0,90051,0,0,0,0,0,0,0,0,0,0,0,0
0,90052,0,0,0,0,0,0,0,0,0,0,0,0
0,90060,0,0,0,0,0,0,0,0,0,0,0,0
0,90064,0,0,0,0,0,0,0,0,0,0,0,0
0,90072,0,0,0,0,0,0,0,0,0,0,0,0
0,90101,0,0,0,0,0,0,0,0,0,0,0,0
0,90104,0,0,0,0,0,0,0,0,0,0,0,0
0,90120,0,0,0,0,0,0,0,0,0,0,0,0
0,98054,0,0,0,0,0,0,0,0,0,0,0,0
0,98057,0,0,0,0,0,0,0,0,0,0,0,0
0,98058,0,0,0,0,0,0,0,0,0,0,0,0
0,98063,0,0,0,0,0,0,0,0,0,0,0,0
0,98082,0,0,0,0,0,0,0,0,0,0,0,0
1,43502,0,0,0,0,0.42,0,0,0,0,0,0,0
1,43551,0.84,0,0,0,0,0,0,0,0,0,0,0
1,43212,0.56,0,0,0,0,0,0,0,0,0,0,0
1,43201,0.0011,0,0,0,0,0,0,0,0,0,0.1089,0
1,43231,0.3,0,0,0,0,0,0,0,0,0,0,0
2,43502,0,0,0,0,0.487,0,0,0,0,0,0,0
2,43212,0.488,0,0,0,0,0,0,0,0,0,0,0
2,43231,0.648,0,0,0,0,0,0,0,0,0,0,0
2,43122,0.275,0,0,0,0,0,0,0,0,0,0,0
2,43105,0.3033316,0,0,0,0,0,0,0,0,0,0.0086684,0
2,43107,0.36425,0,0,0,0,0,0,0,0,0,0.01175,0
2,43220,0.235,0,0,0,0,0,0,0,0,0,0,0
2,43214,0.164,0,0,0,0,0,0,0,0,0,0,0
2,43106,0.177047,0,0,0,0,0,0,0,0,0,0.004953,0
2,43204,0.018,0,0,0,0,0,0,0,0,0,0.018,0
2,43232,0.021,0,0,0,0,0,0,0,0,0,0,0
3,43201,0.0056,0,0,0,0,0,0,0,0,0,0.5544,0
3,43122,0.45,0,0,0,0,0,0,0,0,0,0,0
3,43212,0.36,0,0,0,0,0,0,0,0,0,0,0
3,43502,0,0,0,0,0.08,0,0,0,0,0,0,0
3,43220,0.3,0,0,0,0,0,0,0,0,0,0,0
3,43204,0.06,0,0,0,0,0,0,0,0,0,0.06,0
3,45201,0.04,0,0,0,0,0,0,0,0,0,0.2,0
3,45202,0,0,0.02,0,0,0,0,0,0,0,0,0
3,43105,0.058333,0,0,0,0,0,0,0,0,0,0.001667,0
3,43248,0.06,0,0,0,0,0,0,0,0,0,0,0
4,43212,0.924,0,0,0,0,0,0,0,0,0,0,0
4,43202,0.0836,0,0,0,0,0,0,0,0,0,0.3344,0
4,43204,0.2835,0,0,0,0,0,0,0,0,0,0.2835,0
