GRIDCODE,CVENTMUN,Suma de Fpv
6965,20308,0.436585754
6966,20043,0.000177566
6966,20124,0.059211197
6977,20327,0.113003306
6978,7009,0.168678008
6978,20327,0.126609712
6979,7009,0.196789187
6980,7009,0.386575254
6980,7097,0.013969255
6981,7097,0.030632716
6987,7107,0.127097575
6987,7108,0.005992545
6988,7107,0.093930087
6989,7107,0.10637454
6990,7107,0.193045081
6991,7107,0.012655031
6993,7020,0.164469915
6994,7020,0.120446059
6999,7104,0.014298632
7000,7104,0.51705568
7002,7099,0.160415522
7003,7099,0.010431256
7004,7099,0.03163233
7005,7099,0.077982858
7006,7099,0.103875487
7007,7099,0.100989411
7008,7099,0.013648389
7278,12023,0.044760051
7279,12023,0.258511062
7280,12023,0.058304521
7280,20402,0.463362841
7281,20402,0.056344007
7282,20345,0.074276421
7283,20285,0.533530319
7283,20312,0.286064233
7283,20345,0.138483142
7284,20312,0.713935767
7295,20277,0.321294349
7296,20277,0.20078338
7299,20059,0.198048602
7299,20289,1
7299,20351,0.261319919
7300,20059,0.283511796
7300,20351,0.738680081
7310,20122,0.155239261
7310,20125,0.071682344
7310,20410,0.792260012
7311,20052,0.267919882
7311,20410,0.207739988
7312,20052,0.321176487
7313,20052,0.278125204
7315,20418,0.173987816
7315,20515,0.112316074
7316,20515,0.120575382
7317,20124,0.114437781
7317,20421,1
7317,20515,0.15094546
7318,20124,0.542663328
7319,20043,0.058420316
7319,20124,0.176000213
7319,20441,0.855217103
7326,20143,0.508915299
7329,20025,1
7329,20327,0.116876473
7330,20327,0.106129195
7333,7009,0.200365236
7340,7108,0.111781252
7343,7107,0.026788868
7344,7107,0.085087225
7350,7083,0.08992781
7350,7106,0.027620153
7351,7083,0.700768541
7352,7083,0.20822523
7352,7104,0.17740826
7353,7104,0.245578948
7354,7019,0.135796361
7354,7104,0.045658479
7355,7019,0.022240463
7355,7099,0.028979328
7356,7099,0.066897001
7357,7099,0.045482571
7359,7099,0.006980325
7361,7052,0.021295746
7361,7099,0.095688558
7362,7052,0.009064511
7625,12018,0.114308685
7626,12018,0.354021749
7627,12018,0.232158065
7627,12077,0.27977731
7628,12077,0.058898651
7628,12080,0.169486154
7631,12023,0.154307888
7631,12046,0.074452368
7635,20185,0.322304949
7635,20345,0.787240436
7649,20155,0.902297374
7649,20277,0.285726531
7652,20028,0.469129481
7652,20059,0.069502837
7659,20125,0.035616037
7660,20125,0.373552473
7662,20122,0.251671061
7662,20125,0.243209558
7662,20204,0.448955024
7663,20122,0.593089678
7666,20052,0.132778427
7666,20418,0.068205934
7667,20418,0.572620933
7668,20418,0.185185317
7671,20005,0.001435875
7671,20030,0.046498401
7671,20124,0.054019317
7672,20005,0.126747219
7672,20030,0.778419544
7672,20043,0.21245385
7672,20441,0.144782896
7673,20043,0.160469181
7674,20043,0.075470071
7674,20557,0.188406176
7675,20043,0.037208319
7675,20557,0.066059141
7679,20075,1
7679,20143,0.491084701
7679,20525,0.069333364
7681,20327,0.01682733
7681,20525,0.019729773
7682,20327,0.285532402
7682,20525,0.018158248
7683,7017,0.020965762
7683,20327,0.235021583
7686,7009,0.023306774
7686,7046,0.208553599
7687,7046,0.147172068
7688,7046,0.058268317
7689,7046,0.09269621
7689,7108,0.0332305
7690,7108,0.105978241
7691,7108,0.093466649
7692,7108,0.128796945
7693,7108,0.12183183
7696,7107,0.012121421
7697,7107,0.11924581
7700,7106,0.042221714
7701,7106,0.04712841
7702,7106,0.186483366
7703,7075,0.023966548
7703,7106,0.26604435
7704,7075,0.120138175
7704,7083,0.001078419
7705,7019,0.087787836
7705,7075,0.051648308
7706,7019,0.123367069
7707,7019,0.238641896
7708,7019,0.048747716
7708,7041,1
7708,7052,0.078745851
7970,12001,0.0132872
7971,12001,0.009833815
7977,12018,0.026568691
7977,12025,0.407210909
7977,12030,0.039809016
7978,12018,0.27294281
7978,12025,0.02867824
7980,12052,0.116934893
7980,12077,0.43845929
7981,12052,0.043509853
7981,12080,0.235748043
7982,12013,0.162883087
7982,12080,0.52941524
7983,12013,0.33440058
7983,12080,0.065350563
7984,12013,0.19838773
7984,12036,0.701356923
7984,12046,0.376357547
7988,20185,0.57726558
7989,20185,0.100429471
7989,20300,0.654249996
8002,20155,0.025961113
8002,20277,0.130655577
8003,20017,1
8003,20101,1
8003,20149,1
8003,20155,0.071741513
8003,20241,0.6725778
8003,20277,0.008777815
8004,20241,0.313986615
8005,20028,0.32876434
8005,20268,1
8013,20064,0.510744786
8013,20125,0.175194809
8014,20064,0.323508458
8014,20204,0.235999512
8015,20204,0.315045465
8023,20005,0.010235297
8023,20053,1
8024,20005,0.141227915
8024,20014,0.702148253
8024,20305,1
8025,20005,0.208038527
8025,20014,0.190973952
8025,20030,0.175082054
8026,20043,0.129319512
8027,20557,0.074618516
8028,20043,0.029348981
8028,20557,0.670916166
8031,20066,0.192714447
8032,20066,0.150333521
8032,20525,0.343589336
8033,20525,0.278211393
8034,20525,0.270977886
8036,7017,0.126078357
8037,7017,0.143301445
8038,7017,0.068560013
8039,7017,0.018264729
8039,7046,0.062096592
8040,7046,0.077470773
8041,7046,0.108201253
8044,7108,0.095737241
8045,7108,0.016280723
8046,7108,0.09150768
8047,7108,0.095920317
8048,7108,0.04086226
8049,7107,0.000530963
8050,7027,0.049663071
8050,7107,0.061486885
8052,7002,0.101589142
8052,7106,0.074284442
8053,7106,0.166156594
8054,7106,0.103796108
8055,7106,0.021342833
8056,7075,0.07191818
8057,7075,0.571858529
8058,7019,0.029442778
8059,7019,0.084773828
8060,7019,0.062947816
8061,7019,0.010777414
8061,7052,0.132383618
8062,7052,0.010449175
8322,12001,0.051637607
8323,12001,0.02129995
8324,12001,0.018844225
8324,12053,0.171489252
8325,12053,0.133704007
8326,12053,0.07860607
8327,12053,0.102379097
8328,12053,0.161169647
8329,12030,0.609377781
8330,12025,0.251585775
8330,12030,0.295819942
8331,12025,0.312525077
8334,12052,0.466657693
8334,12077,0.222864749
8335,12013,0.099782961
8336,12013,0.204545643
8337,12036,0.298643076
8337,12046,0.018873169
8338,12046,0.380670866
8339,12046,0.149646051
8342,20300,0.277042274
8343,20300,0.068707731
8343,20415,1
8343,20447,0.299627435
8356,20398,0.174284071
8357,20028,0.093977438
8357,20241,0.013435585
8357,20398,0.743576141
8358,20028,0.108128741
8358,20049,0.480014848
8358,20072,0.448566679
8358,20238,1
8363,20333,0.19739142
8364,20333,0.229868623
8365,20333,0.229826672
8366,20064,0.165746755
8366,20125,0.100744779
8366,20325,1
8366,20333,0.039368424
8376,20472,1
8376,20508,0.242640315
8377,20014,0.106877795
8377,20508,0.757359684
8379,20005,0.194175901
8379,20043,0.07224448
8380,20043,0.117257308
8381,20043,0.09075271
8381,20505,0.516819668
8382,20066,0.068917644
8382,20505,0.483180332
8383,20066,0.40382169
8384,20066,0.184212698
8391,7017,0.081285377
8392,7017,0.239659619
8397,7061,0.095710721
8397,7108,0.013021358
8401,7086,0.246740573
8401,7108,0.045592459
8403,7027,0.145292435
8404,7002,0.22532495
8405,7002,0.035019495
8409,7007,0.085602455
8409,7075,0.135951637
8409,7106,0.064922031
8410,7075,0.024518622
8411,7019,0.101073884
8413,7052,0.021668315
8414,7052,0.19047118
8673,12001,0.018917829
8674,12001,0.069790938
8675,12001,0.10416581
8676,12001,0.034605993
8678,12053,0.012408679
8679,12053,0.066961668
8680,12053,0.058493491
8681,12053,0.02316548
8682,12012,0.044453813
8682,12030,0.04157859
8682,12053,0.021398649
8683,12012,0.261528997
8683,12030,0.013414671
8687,12052,0.37289756
8696,20447,0.42610496
8709,20358,0.922110899
8709,20378,0.227249512
8709,20398,0.082139788
8710,20358,0.077889101
8710,20378,0.772750488
8710,20387,0.675119322
8710,20570,0.251287046
8711,20049,0.519985152
8711,20068,0.000512887
8711,20072,0.551433321
8711,20132,1
8711,20301,1
8711,20315,1
8711,20393,1
8712,20068,0.464815506
8715,20131,0.233970308
8716,20131,0.40476766
8716,20333,0.153616022
8717,20333,0.110890867
8718,20333,0.039037972
8732,20005,0.222119736
8745,7017,0.02496868
8746,7017,0.149625436
8750,7061,0.105505739
8754,7086,0.26311799
8755,7027,0.135241098
8755,7086,0.186905392
8756,7002,0.17937403
8756,7027,0.045740057
8757,7002,0.260289757
8758,7002,0.085930113
8758,7028,1
8761,7094,0.374481842
8762,7007,0.57536243
8762,7094,0.203311482
8763,7007,0.339035115
8763,7019,0.028720792
8764,7019,0.025682146
8766,7052,0.184044617
8767,7052,0.015476015
9024,12021,0.085405666
9025,12001,0.013401493
9025,12021,0.08210929
9026,12001,0.027687598
9026,12021,0.050163278
9027,12001,0.07788583
9028,12001,0.087496707
9036,12012,0.318497494
9049,20037,0.579555721
9049,20447,0.274267605
9054,20500,0.298154075
9063,20295,1
9063,20387,0.324880678
9063,20570,0.639712157
9064,20068,0.03589497
9064,20103,0.283819597
9064,20243,0.427136629
9064,20369,0.031563968
9064,20530,0.336555716
