GRIDCODE,CVENTMUN,Fpv,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
4478,20324,0.01380893,105544.8787,1457.461861
4478,20324,0.008385543,105544.8787,885.0510981
4478,20324,0.020457362,105544.8787,2159.169805
4479,20324,0.081485905,105544.8787,8600.419971
4479,20324,0.147321774,105544.8787,15549.05881
4480,20413,0.046157025,150925.8505,6966.288182
4480,20324,0.126304538,105544.8787,13330.79718
4480,20413,0.013639363,150925.8505,2058.532468
4481,20413,0.045880202,150925.8505,6924.508555
4481,20413,0.085921169,150925.8505,12967.72544
4481,20413,0.064237028,150925.8505,9695.028086
4482,20413,0.004882247,150925.8505,736.8573079
4482,20413,0.088411277,150925.8505,13343.54719
4482,20413,0.039159042,150925.8505,5910.111706
4482,20413,0.095389182,150925.8505,14396.69345
4482,20413,0.036867142,150925.8505,5564.204693
4483,20413,0.020503773,150925.8505,3094.549344
4483,20413,0.02147931,150925.8505,3241.78306
4483,20413,0.218332976,150925.8505,32952.09015
4483,20413,0.028337847,150925.8505,4276.91373
4518,7069,0.035585033,239659.0121,8528.273957
4519,7069,0.186477118,239659.0121,44690.92195
4520,7069,0.062467015,239659.0121,14970.78319
4528,7080,0.186842542,26248.43295,4904.323939
4530,7006,0.208175351,60610.21205,12617.55215
4531,7010,1,2763.137195,2763.137195
4531,7006,0.156832416,60610.21205,9505.64596
4824,20401,0.046628166,81622.18931,3805.892989
4824,20318,0.024395435,81241.05606,1981.910878
4824,20318,0.197869618,81241.05606,16075.13671
4824,20318,0.137518938,81241.05606,11172.18372
4825,20401,0.031182883,81622.18931,2545.215165
4825,20401,0.081675246,81622.18931,6666.512364
4825,20401,0.000168237,81622.18931,13.73188115
4825,20401,0.266982715,81622.18931,21791.71371
4826,20401,0.079029018,81622.18931,6450.521502
4831,20324,0.026552552,105544.8787,2802.485894
4831,20012,0.013179262,32121.795,423.3415619
4831,20324,0.081526506,105544.8787,8604.705224
4832,20324,0.103428055,105544.8787,10916.30148
4833,20413,0.05496835,150925.8505,8296.145049
4836,20413,0.085929649,150925.8505,12969.00533
4836,20413,0.005868815,150925.8505,885.7559454
4836,20266,0.309818741,13798.02088,4274.885452
4836,20413,0.044035603,150925.8505,6646.110806
4837,20266,0.690181259,13798.02088,9523.135431
4837,20307,0.031386772,99015.53351,3107.778007
4837,20307,0.022798187,99015.53351,2257.374683
4837,20307,0.094118555,99015.53351,9319.198931
4838,20307,0.010406493,99015.53351,1030.404412
4870,7069,0.00225471,239659.0121,540.3616763
4870,7069,0.004024064,239659.0121,964.4032948
4870,7069,0.004623518,239659.0121,1108.067863
4870,7069,0.163265583,239659.0121,39128.06834
4871,7069,0.026713837,239659.0121,6402.211871
4871,7069,0.089274989,239659.0121,21395.55563
4883,7034,0.0489697,113757.2508,5570.658487
4883,7006,0.145748511,60610.21205,8833.848142
4883,7006,0.039390316,60610.21205,2387.455418
4883,7034,0.018930641,113757.2508,2153.497668
4883,7034,0.107462363,113757.2508,12224.623
4883,7011,0.241857982,10315.53741,2494.895066
4885,7034,0.025439854,113757.2508,2893.967818
5172,20334,0.042748773,171808.1456,7344.587413
5172,20334,0.002492461,171808.1456,428.2251516
5173,20334,0.074973718,171808.1456,12881.09553
5174,20334,0.111757631,171808.1456,19200.87127
5175,20334,0.122720903,171808.1456,21084.45084
5176,20334,0.026180004,171808.1456,4497.937864
5176,20318,0.205876164,81241.05606,16725.59696
5177,20318,0.033183411,81241.05606,2695.855375
5177,20318,0.02522251,81241.05606,2049.103358
5177,20318,0.241560743,81241.05606,19624.64987
5177,20318,0.013719803,81241.05606,1114.611306
5177,20318,0.02841939,81241.05606,2308.82124
5184,20071,0.08189124,19308.70251,1581.213601
5184,20012,0.031103783,32121.795,999.1093471
5184,20071,0.421117899,19308.70251,8131.240227
5184,20012,0.051861834,32121.795,1665.895197
5184,20071,0.451468497,19308.70251,8717.270898
5184,20012,0.303325887,32121.795,9743.371976
5185,20071,0.010879957,19308.70251,210.0778485
5185,20012,0.012264529,32121.795,393.9586877
5185,20071,0.034642407,19308.70251,668.8999391
5185,20012,0.005958808,32121.795,191.4075931
5191,20307,0.05545981,99015.53351,5491.382717
5191,20307,0.140277417,99015.53351,13889.64325
5192,20307,0.087945996,99015.53351,8708.019751
5192,20307,0.122265087,99015.53351,12106.14282
5193,20307,0.084727553,99015.53351,8389.343823
5221,7097,0.001228934,359396.2642,441.6742148
5221,7069,0.131205726,239659.0121,31444.63475
5222,7069,0.171060026,239659.0121,40996.07692
5223,7069,0.01093248,239659.0121,2620.067401
5234,7030,0.082185113,16378.83225,1346.096183
5235,7034,0.051094601,113757.2508,5812.381316
5235,7030,0.917814887,16378.83225,15032.73607
5235,7011,0.56095676,10315.53741,5786.570445
5236,7034,0.079630756,113757.2508,9058.575897
5236,7034,0.000428572,113757.2508,48.75319677
5236,7011,0.197185258,10315.53741,2034.071901
5237,7034,0.175498527,113757.2508,19964.22989
5238,7034,0.051461201,113757.2508,5854.08476
5238,7034,0.021862884,113757.2508,2487.061633
5238,7034,0.053098295,113757.2508,6040.316111
5238,7034,0.110424193,113757.2508,12561.55259
5523,20334,0.04655219,171808.1456,7998.045456
5523,20334,0.012607692,171808.1456,2166.104146
5523,20334,0.010571945,171808.1456,1816.346191
5524,20334,0.135601575,171808.1456,23297.45521
5525,20334,0.071444942,171808.1456,12274.82308
5525,20334,0.041036008,171808.1456,7050.320453
5525,20334,0.001738711,171808.1456,298.7247201
5525,20334,0.002162967,171808.1456,371.6153568
5526,20334,0.010428129,171808.1456,1791.637456
5526,20334,0.02808913,171808.1456,4825.9413
5526,20334,0.01575541,171808.1456,2706.907777
5526,20334,0.001737002,171808.1456,298.4311582
5530,20318,0.056652767,81241.05606,4602.530619
5530,20318,0.02043981,81241.05606,1660.551748
5530,20318,0.015141412,81241.05606,1230.104275
5530,20153,0.717609368,32375.99029,23233.31393
5537,20012,0.582305897,32121.795,18704.71064
5537,20085,0.340348009,6701.561096,2280.862979
5537,20254,0.042591746,35876.26106,1528.032588
5537,20085,0.659651991,6701.561096,4420.698117
5537,20254,0.137055454,35876.26106,4917.037235
5537,20306,0.595563453,24562.1492,14628.31839
5546,20307,0.192866507,99015.53351,19096.78006
5547,20453,0.093416772,40276.94634,3762.542305
5547,20307,0.050579303,99015.53351,5008.136693
5547,20453,0.273130221,40276.94634,11000.85127
5547,20453,0.023089653,40276.94634,929.9807316
5547,20307,0.023406198,99015.53351,2317.577133
5547,20307,0.05593725,99015.53351,5538.656662
5548,20453,0.505542682,40276.94634,20361.71547
5549,20453,0.104820672,40276.94634,4221.856568
5549,20515,0.107197083,160969.8669,17255.50025
5550,20515,0.004257387,160969.8669,685.3109729
5550,20515,0.011789106,160969.8669,1897.69083
5570,7097,0.049000839,359396.2642,17610.71858
5571,7097,0.022658434,359396.2642,8143.356624
5572,7097,0.018193329,359396.2642,6538.614358
5572,7097,0.015724725,359396.2642,5651.407563
5573,7097,0.002108182,359396.2642,757.6726464
5573,7097,0.116885779,359396.2642,42008.31237
5574,7097,0.048124868,359396.2642,17295.8979
5582,7008,0.151501628,11535.13534,1747.591786
5591,7034,0.181920294,113757.2508,20694.75251
5875,20334,0.059487269,171808.1456,10220.39733
5875,20467,0.085942938,48424.24084,4161.721531
5876,20334,0.027165266,171808.1456,4667.214035
5876,20334,0.049756407,171808.1456,8548.556056
5876,20334,0.01163323,171808.1456,1998.683635
5877,20334,0.01822172,171808.1456,3130.63991
5877,20334,0.0413564,171808.1456,7105.36645
5877,20334,0.033780516,171808.1456,5803.767856
5883,20153,0.282390632,32375.99029,9142.676356
5890,20254,0.029201143,35876.26106,1047.627822
5890,20279,0.207381527,27931.42123,5792.460778
5890,20306,0.404436547,24562.1492,9933.830813
5890,20254,0.084176397,35876.26106,3019.934389
5890,20254,0.01735736,35876.26106,622.717182
5890,20279,0.581272949,27931.42123,16235.77958
5890,20254,0.100207586,35876.26106,3595.073525
5890,20279,0.211345524,27931.42123,5903.180867
5900,20307,0.027824872,99015.53351,2755.094564
5903,20515,0.14985202,160969.8669,24121.65976
5922,7097,0.010998704,359396.2642,3952.893124
5922,7097,0.025533737,359396.2642,9176.729739
5922,7097,0.014725723,359396.2642,5292.369856
5922,7097,0.007956136,359396.2642,2859.405539
5923,7097,0.014870078,359396.2642,5344.250603
5923,7097,0.002200771,359396.2642,790.9488456
5923,7097,0.008960994,359396.2642,3220.547846
5924,7097,0.007660909,359396.2642,2753.302167
5924,7097,0.073870355,359396.2642,26548.72965
5925,7097,0.000194489,359396.2642,69.89875728
5925,7097,0.099445879,359396.2642,35740.4774
5925,7097,0.001540826,359396.2642,553.7670079
5934,7020,0.018630798,125881.4318,2345.271474
5935,7008,0.471338369,11535.13534,5436.951877
5935,7008,0.073688925,11535.13534,850.011728
5935,7020,0.132876719,125881.4318,16726.71169
5935,7008,0.303471077,11535.13534,3500.57995
5944,7034,0.068005844,113757.2508,7736.157901
5944,7099,0.059238984,236384.2773,14003.16452
5944,7034,0.005772274,113757.2508,656.6379926
6225,20482,0.163613585,123287.9407,20171.582
6227,20467,0.114216106,48424.24084,5530.828212
6228,20467,0.241135716,48424.24084,11676.81399
6228,20467,0.161977558,48424.24084,7843.640268
6233,20364,0.0163287,15598.51905,254.7035417
6234,20364,0.011350538,15598.51905,177.0515757
6234,20497,1,496.3608444,496.3608444
6234,20364,0.294269321,15598.51905,4590.165611
6235,20202,0.07248363,3957.24707,286.8356311
6242,20095,0.07258372,25877.69967,1878.2997
6243,20254,0.419427431,35876.26106,15047.48802
6243,20254,0.169982883,35876.26106,6098.3503
6243,20095,0.446252152,25877.69967,11547.97917
6256,20515,0.045702814,160969.8669,7356.775873
6256,20515,0.024318997,160969.8669,3914.625715
6257,20079,0.049056332,56207.07171,2757.312768
6257,20515,0.158655613,160969.8669,25538.77287
6258,20079,0.025252266,56207.07171,1419.355928
6274,7097,0.00848342,359396.2642,3048.909443
6275,7097,0.035594429,359396.2642,12792.50464
6275,7097,0.003941598,359396.2642,1416.595716
6275,7097,0.04977397,359396.2642,17888.57884
6276,7097,0.004935898,359396.2642,1773.943253
6276,7097,0.022248258,359396.2642,7995.940906
6276,7097,0.012221388,359396.2642,4392.321363
6276,7097,0.001924097,359396.2642,691.5131723
6276,7097,0.016756358,359396.2642,6022.172434
6276,7097,0.006113298,359396.2642,2197.096532
6276,7097,0.072394209,359396.2642,26018.20815
6277,7097,0.046454951,359396.2642,16695.73584
6277,7097,0.003768708,359396.2642,1354.459642
6287,7020,0.165939451,125881.4318,20888.69569
6287,7020,0.064332705,125881.4318,8098.29307
6297,7099,0.033867352,236384.2773,8005.709499
