CVENTMUN,SCC,PM10,PM2.5,NOx,SO2,CO,VOC,NH3,CN,CO2,CH4
13017,2230074330,0.183929598,0.190862451,3.143704626,0.252797137,0.820852932,0.089920867,0.002292478,0.089912843,37.18463784,0.003127244
13017,2230075330,0.016179528,0.019815,0.058603773,0.005091775,0.026503714,0.003290387,2.92852E-05,0.009334593,1.20061826,0.000114432
13018,2201001330,0.098946474,0.059861611,0.847719275,0.149679924,2.750802191,0.266517175,0.038351024,0.017706995,124.6113392,0.009268864
13018,2201020330,0.213190691,0.136768034,2.074282795,0.38831933,8.078332864,0.787186465,0.072975502,0.040455846,365.9484787,0.027376562
13018,2201040330,0.036894784,0.024914278,0.282084215,0.080838849,1.579004632,0.135797939,0.011179668,0.007369618,71.52890982,0.004722745
13018,2201080330,0.00126669,0.000944665,0.003774784,0.000614029,0.020813741,0.002607175,3.63358E-05,2.79E-04,0.942862488,9.06716E-05
13018,2230072330,0.003706563,0.003464906,0.077084993,0.009942809,0.001705079,0.001553016,0.00014803,0.001632275,0.077240096,5.40104E-05
13018,2230073330,0.147093818,0.176675563,0.812944498,0.063363082,0.123036871,0.020217367,0.000725809,0.083229578,5.573570247,0.000703114
13018,2230074330,0.075111285,0.079651201,1.152325914,0.091536098,0.133767102,0.017498568,0.000829993,0.037522654,6.059649713,0.000608561
13018,2230075330,0.016179528,0.019815,0.057454992,0.005091775,0.010761349,0.001611742,2.92852E-05,0.009334593,0.487489087,5.60527E-05
13019,2201001330,0.306064696,0.185155983,3.114832848,0.462977212,8.976535065,0.72949711,0.118637817,0.054768931,406.6370384,0.025370257
13019,2201020330,0.491913028,0.315300724,6.106038845,0.898331883,20.86074878,1.66581245,0.168694915,0.093265617,944.9919198,0.057933184
13019,2201040330,0.084092258,0.056585598,0.826772388,0.18524017,4.020064611,0.293090418,0.025721163,0.016737964,182.1089269,0.010193021
13019,2201070330,0.002493033,0.002215056,0.013809495,0.001291323,0.210990298,0.008059955,4.16923E-05,0.00065521,9.557860515,0.000280307
13019,2230072330,0.031744492,0.030193142,0.643945335,0.080868231,0.036977537,0.02639149,0.001203976,0.014223604,1.675082425,0.000917836
13019,2230073330,0.319638759,0.383314579,1.900612655,0.145027946,0.675069628,0.092536432,0.001656943,0.180574561,30.58065414,0.003218208
13019,2230074330,0.204661722,0.213161607,3.538759235,0.277332084,0.913557016,0.099641948,0.002502146,0.100417689,41.38413283,0.003465321
13019,2230075330,0.051981707,0.063661781,0.188282627,0.016358891,0.089390325,0.010571379,9.40876E-05,0.029990245,4.049381723,0.000367649
13020,2201001330,0.025589765,0.015487464,0.263264996,0.038703319,0.78049563,0.063533673,0.009913908,0.004581174,35.35645202,0.002209557
13020,2201020330,0.075472237,0.04838061,0.947734908,0.138428111,3.236776524,0.259838807,0.025879638,0.014310929,146.6259766,0.009036605
13020,2201040330,0.013010993,0.008749853,0.127083426,0.02874732,0.611015152,0.044671169,0.003986537,0.002588195,27.67898637,0.001553562
13020,2230073330,0.047369682,0.057058948,0.250649091,0.018362654,0.098116153,0.013015058,0.00021227,0.026879738,4.444661736,0.000452634
13020,2230074330,0.008816816,0.010227719,0.088113491,0.005607176,0.045148616,0.004951837,4.29743E-05,0.004818146,2.045232282,0.000172214
13021,2201001330,0.873596625,0.528529425,8.905026575,1.321357673,25.65710779,2.090140943,0.338592333,0.156338416,1162.266983,0.072690368
