kg,PM10,PM2.5,NOx,SO2,CO,VOC, NH3,CN, CO2,CH4
8054,0.003648189,0.003745931,0.003817274,0.003699444,0.004003086,0.003846645,0.003157171,0.003807194,0.004003086,0.003846645
8055,0.005540999,0.005512341,0.005697149,0.005655514,0.005669244,0.005800971,0.005362312,0.005493321,0.005669244,0.005800971
8056,0.000938084,0.000971709,0.000928816,0.000914102,0.00104394,0.00099245,0.000806895,0.000987105,0.00104394,0.00099245
8057,0.000965056,0.000991219,0.000954326,0.000942606,0.00108497,0.001032128,0.000857304,0.001001731,0.00108497,0.001032128
8059,0.00187549,0.001904317,0.001937881,0.0018999,0.001978261,0.001900703,0.001725147,0.001925977,0.001978261,0.001900703
8060,0.003104297,0.003117672,0.00314112,0.003101213,0.003289642,0.003170235,0.003017687,0.003129347,0.003289642,0.003170235
8061,0.002507299,0.002600036,0.002615444,0.002521478,0.002659732,0.002559251,0.002094415,0.002663616,0.002659732,0.002559251
8062,0.010291327,0.01019161,0.010619356,0.01056004,0.010602956,0.010849452,0.010068399,0.010133037,0.010602956,0.010849452
8063,0.001211629,0.001217243,0.001251356,0.001245703,0.001413152,0.00135062,0.001124275,0.001215589,0.001413152,0.00135062
8064,0.001068518,0.001076831,0.001087943,0.001088076,0.00125621,0.001198182,0.000988891,0.001075223,0.00125621,0.001198182
8065,0.000732663,0.00077016,0.000693966,0.000688752,0.000809291,0.000770969,0.000613997,0.000786848,0.000809291,0.000770969
8066,0.000611895,0.000617055,0.000618483,0.000619836,0.000741678,0.000705633,0.000568371,0.000613975,0.000741678,0.000705633
8067,0.003057123,0.003216714,0.003146206,0.003055324,0.002861369,0.002911047,0.002461701,0.003321811,0.002861369,0.002911047
9002,0.05533018,0.055013071,0.056322468,0.056332242,0.056304967,0.056305219,0.056022594,0.055358853,0.056304967,0.056305219
9003,0.095072339,0.094725363,0.096142217,0.096174491,0.096202935,0.096179132,0.095850517,0.09509205,0.096202935,0.096179132
9004,0.012824398,0.012580009,0.013589145,0.013596449,0.013541049,0.013574354,0.013377665,0.012841629,0.013541049,0.013574354
9005,0.122621352,0.123215554,0.120770185,0.120743132,0.120753992,0.12077077,0.121297443,0.122582597,0.120753992,0.12077077
9006,0.049618463,0.049404552,0.05029503,0.050294816,0.050298958,0.050294086,0.050097989,0.049628516,0.050298958,0.050294086
9007,0.109875526,0.110704245,0.107279655,0.107254436,0.107315516,0.107302397,0.108046167,0.109802782,0.107315516,0.107302397
9008,0.018521146,0.018171003,0.019605898,0.019630061,0.019567756,0.019601999,0.019307408,0.018552031,0.019567756,0.019601999
9009,0.003688399,0.003616417,0.003905093,0.003912705,0.003909739,0.003911504,0.003855187,0.003689536,0.003909739,0.003911504
9010,0.078158834,0.078136397,0.078233882,0.078227238,0.078212978,0.078217915,0.078205935,0.078162875,0.078212978,0.078217915
9011,0.011208693,0.010996717,0.011868892,0.01187349,0.01181422,0.011849504,0.011685592,0.011227426,0.01181422,0.011849504
9012,0.059042894,0.058655061,0.060271733,0.060266146,0.060312484,0.060275806,0.059891474,0.059075271,0.060312484,0.060275806
9013,0.021735531,0.021328162,0.023029798,0.023024386,0.023024742,0.02300921,0.022623547,0.021774627,0.023024742,0.02300921
9014,0.105706395,0.106622359,0.102844047,0.10281336,0.102858738,0.102846052,0.103661975,0.105644818,0.102858738,0.102846052
9015,0.110946896,0.111758346,0.108405128,0.10838303,0.108429299,0.108415384,0.10914837,0.110881855,0.108429299,0.108415384
9016,0.091145993,0.090876772,0.091976851,0.09200244,0.092002662,0.091990393,0.091737111,0.091165911,0.092002662,0.091990393
9017,0.05450296,0.054195972,0.055459979,0.055471577,0.055449964,0.055456275,0.055191027,0.054519223,0.055449964,0.055456275
10001,0.013657906,0.01315114,0.013651862,0.015163625,0.01942941,0.019772512,0.017517946,0.012523848,0.01942941,0.019772512
10002,0.001752437,0.001839739,0.001379531,0.00161209,0.001216219,0.001482741,0.001405795,0.001932417,0.001216219,0.001482741
10003,0.001132443,0.001079669,0.001052615,0.001356757,0.001851928,0.001922712,0.001603706,0.001016608,0.001851928,0.001922712
10004,0.010402499,0.010701164,0.009537719,0.009927925,0.009842796,0.010473731,0.009426281,0.010998728,0.009842796,0.010473731
10005,0.459618651,0.453023689,0.492879475,0.488874593,0.526599543,0.479651945,0.482437659,0.446223278,0.526599543,0.479651945
10006,0.002485543,0.002416933,0.002227731,0.002821062,0.003582602,0.003776521,0.003196799,0.002327477,0.003582602,0.003776521
10007,0.220872769,0.22855335,0.206017005,0.186233587,0.133942491,0.155263873,0.173520058,0.237088761,0.133942491,0.155263873
10008,0.0176755,0.01787099,0.016486728,0.01758151,0.018115686,0.0187756,0.017551453,0.018035409,0.018115686,0.0187756
10009,0.004366441,0.004541795,0.003571884,0.004107996,0.00387854,0.004113004,0.003654056,0.004714727,0.00387854,0.004113004
10010,0.004151306,0.003938179,0.003985827,0.004468789,0.005397558,0.005473414,0.005434264,0.003641616,0.005397558,0.005473414
10011,0.002501993,0.002409718,0.002199609,0.002869302,0.003108241,0.003325562,0.003299455,0.002297666,0.003108241,0.003325562
10012,0.068508297,0.068576094,0.069764312,0.065912231,0.065219233,0.073649686,0.070683199,0.069159421,0.065219233,0.073649686
10013,0.010130909,0.010047203,0.009082005,0.010801514,0.010495995,0.012576861,0.011629268,0.009990416,0.010495995,0.012576861
10014,0.003568085,0.003666908,0.002720389,0.003395709,0.002923009,0.00354522,0.003252179,0.00375678,0.002923009,0.00354522
10015,0.005421974,0.005573634,0.004803726,0.00522421,0.004406686,0.005342497,0.005017751,0.005747626,0.004406686,0.005342497
10016,0.007384875,0.007463629,0.006884371,0.007335436,0.008203263,0.008491145,0.007480563,0.007534044,0.008203263,0.008491145
10017,0.007572663,0.007095189,0.00659911,0.008770296,0.007259536,0.007402653,0.010925956,0.006632326,0.007259536,0.007402653
10018,0.006523264,0.006450488,0.005955206,0.006914505,0.00670809,0.007052923,0.007420688,0.006353763,0.00670809,0.007052923
10019,0.001066855,0.001086187,0.000824325,0.001076362,0.001000762,0.001087946,0.001070565,0.00110319,0.001000762,0.001087946
10020,0.005973248,0.005898562,0.00561182,0.006447,0.007868749,0.008269683,0.007020876,0.005811398,0.007868749,0.008269683
10021,0.00353078,0.003437032,0.00336059,0.003994902,0.004901783,0.005076787,0.004477772,0.003334754,0.004901783,0.005076787
10022,0.008918492,0.008684856,0.008801161,0.009765859,0.011195165,0.011576787,0.010941584,0.008403565,0.011195165,0.011576787
10023,0.020513867,0.021388963,0.018334155,0.018153425,0.018906621,0.019287186,0.016064417,0.022226255,0.018906621,0.019287186
10024,0.005287796,0.005205285,0.004669781,0.005734321,0.005944271,0.007067057,0.006310806,0.005107268,0.005944271,0.007067057
10025,0.001319258,0.001221663,0.001254752,0.00167946,0.001995747,0.002119124,0.00207792,0.001111993,0.001995747,0.002119124
10026,0.007504606,0.007902921,0.005612614,0.006747422,0.005455097,0.006419289,0.005603638,0.008300901,0.005455097,0.006419289
10027,0.001713619,0.001674747,0.001466852,0.001880315,0.002447959,0.002528416,0.002119277,0.001622485,0.002447959,0.002528416
10028,0.005273621,0.004971265,0.005299644,0.00642637,0.008190925,0.008608543,0.007726388,0.004635203,0.008190925,0.008608543
10029,0.000881614,0.000875275,0.000856706,0.000945836,0.001118898,0.001179998,0.001027866,0.000868914,0.001118898,0.001179998
10030,0.000574975,0.000576477,0.000499914,0.000603179,0.000637829,0.000691245,0.000631753,0.000575944,0.000637829,0.000691245
10031,0.002094967,0.002058873,0.00195157,0.002303083,0.002350671,0.002591528,0.002569073,0.002011116,0.002350671,0.002591528
10032,0.026242449,0.025994521,0.024990273,0.02720764,0.029392756,0.029983807,0.028677232,0.025553428,0.029392756,0.029983807
