Estado,SCC,PM10,PM25,NO2,NO,SO2 ,CO ,VOC,NH3 ,CN,CO2,CH4,GSO4,OTHER,POA
9,2230060000,21689,19957,97608,422187,484,195430,48827,1384,10173,57458407,16156,3147,970,4830
9,2230070000,378056,347806,2141358,9047435,10471,2852494,466670,17624,266575,1252409974,183815,32303,14627,35664
9,2230070000,1109875,1021079,4862971,24460037,25514,7286060,1100618,41646,809791,3032383130,359667,67654,36979,104566
10,2201080000,10766,9521,19874,422684,22918,9154533,725502,17289,1298,138443793,15869,878,706,5193
10,2201001000,49534,43822,761965,6296059,130998,41629629,3665025,57292,5973,791315131,81748,4112,7648,23845
10,2230001000,48,43,280,2549,147,17102,1153,10,0,509075,87,25,0,11
10,2201070000,47646,42147,873466,6741195,132974,42540813,3378757,48437,5743,803234589,103466,3953,6207,22932
10,2230060000,3680,3386,5467,32207,1525,98474,9331,164,1003,5389359,1080,2114,33,198
10,2201020000,1635,1445,29571,233020,4577,1485675,119232,1702,196,27640619,3918,138,216,786
10,2230060000,117,110,173,1097,50,2943,284,0,39,181197,34,62,0,3
10,2201070000,10448,9240,18659,237771,7954,2400361,126607,1247,1255,48045164,4712,879,610,5026
10,2230070000,70383,64749,132761,878910,20881,298504,47051,1072,30013,73714550,7517,27967,764,4921
10,2201040000,3844,3402,34104,323759,11525,2710672,154677,2635,462,69610078,6258,322,755,1851
10,2230060000,152400,140211,221767,944773,33601,394524,96498,2650,19705,120177365,32538,109244,1706,8197
10,2201070000,262,234,1896,17984,639,134236,8074,158,29,3866136,264,17,42,124
10,2230060000,9339,8594,12210,52813,1862,22270,5570,158,1162,6657262,1841,6679,108,553
10,2230070000,114167,105036,267914,1131949,40333,325086,53261,2010,30380,144706349,20950,69077,1666,4064
10,2230070000,274294,252350,608421,3060251,98231,830358,125589,4748,92291,350261876,40994,143693,4210,11916
11,2201080000,52613,46543,72134,1521509,39724,41572710,2885888,86070,6665,689494245,62441,2210,3506,26619
11,2201001000,258209,228418,2560866,22254806,212306,111566687,15088510,285203,32679,3871723944,328073,11067,38049,130512
11,2230001000,143,132,1310,12026,191,51613,5808,51,15,2481359,471,37,17,55
11,2201070000,248886,220168,3317078,26363427,217071,127370382,13940069,241139,31497,3930343077,437747,10665,30902,125805
11,2230060000,10374,9545,24895,146840,2066,321495,46448,831,5001,26274106,5434,3194,162,980
11,2201020000,8541,7554,112585,914760,7441,4232283,501339,8476,1078,135312083,16678,367,1089,4314
11,2230060000,362,337,792,5000,69,9659,1423,26,187,883544,175,93,0,36
11,2201070000,55397,49007,77582,1006324,13415,8557431,526102,6207,7011,233932263,20265,2394,3042,27987
11,2230070000,245130,225519,645572,4273863,28935,1374652,235548,5339,149418,358611483,37751,42401,3804,24491
11,2201040000,19975,17672,140993,1351249,19268,9216268,676805,13120,2527,337303126,27952,857,3757,10096
11,2230060000,346961,319206,1078473,4594487,46110,1752449,486247,13192,98106,581692723,163353,165031,8485,40834
11,2201070000,1364,1208,7840,75144,1073,511957,34426,779,176,18718166,1155,59,234,689
11,2230060000,21333,19629,59375,256807,2563,103039,27883,788,5774,32199340,9204,10089,548,2740
11,2230070000,307929,283297,1302765,5504313,55984,1532611,266161,9998,151241,703224358,104637,104294,8294,20235
11,2230070000,823983,758064,2958539,14881050,136555,4031244,625222,23627,459437,1702948959,204343,217141,20985,59321
12,2201080000,28938,25601,46297,984950,62535,24778022,1972940,47178,3497,377746046,43469,2359,1923,13956
12,2201001000,128964,114087,1806976,15431409,357994,62540163,9181488,156326,15545,2162517500,177357,10695,20859,62080
12,2230001000,131,121,706,6478,396,32926,3125,25,1,1391956,234,66,2,32
12,2201070000,123863,109570,2047279,16057383,363368,62042014,8080480,132176,14927,2194955743,220488,10274,16938,59623
12,2230060000,10048,9245,13545,80107,4174,202682,25398,454,2740,14735787,2937,5764,86,537
12,2201020000,4242,3757,69425,557725,12504,2100190,286941,4646,511,75526304,8576,352,595,2043
12,2230060000,329,302,429,2731,141,6112,775,17,101,495419,93,164,0,18
12,2201070000,26940,23833,43567,557788,21748,5361251,344631,3399,3245,131376409,12796,2256,1666,12956
12,2230070000,192042,176676,324417,2147735,57116,753483,128145,2929,81901,201607564,20447,76308,2087,13424
12,2201040000,10031,8871,79823,768063,31524,5061609,425455,7191,1210,190419614,16931,837,2060,4827
12,2230060000,415857,382589,542154,2309645,91945,960562,262328,7228,53773,328837320,88568,298083,4653,22381
12,2201070000,681,600,4430,42311,1752,282515,22023,430,83,10577961,713,58,130,327
12,2230060000,25485,23448,29840,129066,5094,56478,15165,432,3167,18218375,5017,18219,302,1503
12,2230070000,311525,286601,654683,2766162,110323,840063,145091,5482,82900,395822836,57111,188488,4553,11091
12,2230070000,748462,688583,1486780,7478472,268678,2209632,342549,12952,251828,958058256,111810,392088,11505,32517
13,2201080000,14280,12635,20994,446528,32041,12730144,1054315,24238,1733,193973728,22292,1159,992,6889
13,2201001000,77720,68749,896621,7741736,182897,51176121,5236411,80314,14712,1143321612,114166,5071,10712,35300
13,2230001000,91,84,362,3327,203,20313,1594,14,4,739176,107,38,0,23
13,2201070000,72765,64370,1017176,8138431,186368,53190311,4868935,67907,13472,1159607052,144300,4823,8706,33169
13,2230060000,5548,5104,7098,42063,2163,123515,13152,234,1524,7820224,1512,3125,43,328
13,2201020000,2553,2257,34510,282627,6392,1763916,172688,2388,486,39878797,5457,163,306,1156
13,2230060000,185,168,223,1440,71,3734,400,0,57,262856,48,90,0,13
13,2201070000,11985,10598,19806,254702,11499,2754437,188013,1747,1514,69805567,6463,989,859,5734
13,2230070000,140320,129094,153371,1015365,30271,387116,65296,1503,46731,107267839,10363,63975,1070,13361
13,2201040000,5331,4717,36354,353824,16743,2600485,230302,3696,860,101878114,8386,386,1053,2483
13,2230060000,340423,313186,256414,1092366,48920,493506,132413,3713,34321,176235274,44957,248672,2390,21978
13,2201070000,331,293,2014,19356,934,145148,11985,216,50,5667360,356,24,63,156
13,2230060000,20864,19193,14108,61029,2720,29014,7719,220,1993,9775022,2558,15175,155,1476
13,2230070000,245736,226076,309496,1307702,58706,431595,74067,2813,54568,210938829,29191,156708,2338,10775
13,2230070000,573456,527575,702870,3535437,142991,1135236,175948,6656,157767,510226891,57312,326002,5905,31876
14,2201080000,17064,15092,27581,586653,35511,14408922,1122901,27680,2065,221661983,25240,1356,1131,8243
14,2201001000,77284,68365,1051729,8984516,201502,50677856,5163178,91721,9339,1257871174,104143,6266,12237,37289
14,2230001000,75,70,413,3788,223,26523,1840,15,0,808734,137,37,0,17
14,2201070000,74274,65703,1198874,9404728,204558,50125643,4569436,77550,8973,1276953315,129890,6024,9934,35838
14,2230060000,5769,5307,7858,46470,2341,152766,14858,265,1609,8563273,1716,3265,50,315
14,2201020000,2544,2254,40648,326572,7040,1798644,163295,2727,307,43944556,5047,205,352,1226
